canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source
https://hancock.ink,hancock.ink,,1,0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io
https://hanko.io,hanko.io,,1,0,community|community:enpass.io|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory|community:passkeys.io
https://hardanger-folkeblad.no,hardanger-folkeblad.no,,1,0,community
https://hardwax.com,hardwax.com,,1,0,community|community:enpass.io|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://hartex.in,hartex.in,,1,0,community
https://harvard.edu,harvard.edu,,1,0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com
https://hatena.ne.jp,hatena.ne.jp,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory
https://haveibeenpwned.com,haveibeenpwned.com,,1,0,community|community:passkeys.directory
https://havenandhearth.com,havenandhearth.com,,1,0,community
https://hawksmoorim.co.uk,hawksmoorim.co.uk,,1,0,community
https://hcaptcha.com,hcaptcha.com,,1,0,community|community:2fa.directory|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory
https://headway.co,headway.co,,1,0,community|community:2fa.directory|community:enpass.io
https://heexy.org,heexy.org,,1,0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory
https://helg.no,helg.no,,1,0,community
