canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://my.gov.au,my.gov.au,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,10000,top 10k
https://namecheap.com,namecheap.com,,1.0,0.0,community|community:2fa.directory|community:hideez.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,10000,top 10k
https://ncsu.edu,ncsu.edu,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,10000,top 10k
https://olympics.com,olympics.com,,1.0,0.0,community|community:passkeys-directory.dashlane.com,10000,top 10k
https://rewe.de,rewe.de,,1.0,0.0,community|community:passkeys.2stable.com,10000,top 10k
https://robinhood.com,robinhood.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,10000,top 10k
https://slevomat.cz,slevomat.cz,,1.0,0.0,community,10000,top 10k
https://squareup.com,squareup.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory,10000,top 10k
https://stripe.com,stripe.com,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,10000,top 10k
https://sydney.edu.au,sydney.edu.au,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,10000,top 10k
https://telekom.de,telekom.de,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,10000,top 10k
https://ubc.ca,ubc.ca,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com,10000,top 10k
https://ucdavis.edu,ucdavis.edu,,1.0,0.0,community|community:2fa.directory,10000,top 10k
https://wisc.edu,wisc.edu,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com,10000,top 10k
https://woolworths.com.au,woolworths.com.au,,1.0,0.0,community|community:passkeys.2fa.directory,10000,top 10k
https://wordpress.com,wordpress.com,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,10000,top 10k
https://zoho.com,zoho.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,10000,top 10k
https://bitbucket.org,bitbucket.org,,,,manually added,10000,top 10k
https://oa.no,oa.no,,70.0,1.0,community|webauthn|webauthn-related,50000,top 50k
https://huk.de,huk.de,,8.0,1.0,community|webauthn|webauthn-related,50000,top 50k
https://notion.com,notion.com,,7.0,1.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|webauthn|webauthn-related,50000,top 50k
https://kraken.com,kraken.com,,4.0,1.0,community|community:2fa.directory|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.directory|webauthn|webauthn-related,50000,top 50k
https://laby.net,laby.net,,4.0,1.0,webauthn|webauthn-related,50000,top 50k
https://www.mercadopago.cl,mercadopago.cl,,4.0,1.0,webauthn|webauthn-related,50000,top 50k
https://www.mercadopago.com.co,mercadopago.com.co,,4.0,1.0,webauthn|webauthn-related,50000,top 50k
https://freetaxusa.com,freetaxusa.com,https://auth.freetaxusa.com/passkey,3.0,1.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.directory|endpoints,50000,top 50k
https://okta.com,okta.com,,3.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|webauthn|webauthn-related,50000,top 50k
https://www.scor.dk,scor.dk,,3.0,1.0,webauthn|webauthn-related,50000,top 50k
https://accounts.principal.com,principal.com,,2.0,1.0,webauthn|webauthn-related,50000,top 50k
https://bu.edu,bu.edu,,2.0,1.0,community|community:2fa.directory|community:passkeys.2fa.directory|community:passkeys.2stable.com|endpoints,50000,top 50k
https://coinbase.com,coinbase.com,https://accounts.coinbase.com/security/settings,2.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,50000,top 50k
https://ramp.com,ramp.com,https://app.ramp.com/settings/personal-settings/security/passkeys,2.0,1.0,community|community:passkeys.directory|endpoints,50000,top 50k
